user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
LinTheScammer,Lin Fenty  👑,1063582468790460416,2018-11-16 23:59:55,/LinTheScammer/status/1063582468790460416,0,0,0,I’m only in episode 2 sos - we don’t deserve dogs https://twitter.com/netflix/status/1063487661459947520 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">I’m only in episode 2 sos - we don’t deserve <strong>dogs</strong> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/netflix/status/1063487661459947520"" dir=""ltr"" href=""https://t.co/RL69qP0nBY"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/netflix/status/1063487661459947520""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/netflix/status</span><span class=""invisible"">/1063487661459947520</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
dog1h,はてな,1063582468584824833,2018-11-16 23:59:55,/dog1h/status/1063582468584824833,0,0,0,《１等はなんと「BMW 523i EDITION MISSION:IMPOSSIBLE」》年末だョ！ジャンボデジタルシネマくじキャンペーン開催中！ https://nbcuni-cp.jp/missionimpossible/ … #mijp #フォールアウト #デジタルシネマくじ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">《１等はなんと「BMW 523i EDITION MISSION:IMPOSSIBLE」》年末だョ！ジャンボデジタルシネマくじキャンペーン開催中！ <a class=""twitter-timeline-link"" data-expanded-url=""https://nbcuni-cp.jp/missionimpossible/"" dir=""ltr"" href=""https://t.co/EEh7chz0yk"" rel=""nofollow noopener"" target=""_blank"" title=""https://nbcuni-cp.jp/missionimpossible/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">nbcuni-cp.jp/missionimpossi</span><span class=""invisible"">ble/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mijp?src=hash""><s>#</s><b>mijp</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%83%95%E3%82%A9%E3%83%BC%E3%83%AB%E3%82%A2%E3%82%A6%E3%83%88?src=hash""><s>#</s><b>フォールアウト</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%B7%E3%83%8D%E3%83%9E%E3%81%8F%E3%81%98?src=hash""><s>#</s><b>デジタルシネマくじ</b></a></p>"
cheetoCLU,Cheeto,1063582466307497985,2018-11-16 23:59:55,/cheetoCLU/status/1063582466307497985,1,0,0,"I have a feeling if I watch this, we will wind up with a dog at our house. Is that a good thing? @ds_twin","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I have a feeling if I watch this, we will wind up with a <strong>dog</strong> at our house. Is that a good thing? <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""933162609221816320"" dir=""ltr"" href=""/ds_twin""><s>@</s><b>ds_twin</b></a></p>"
clarisuhmae,Clarisa Bautista,1063582463417638912,2018-11-16 23:59:54,/clarisuhmae/status/1063582463417638912,2,0,0,Even dogs come and go,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Even <strong>dogs</strong> come and go</p>"
actorraymorgis,Ray Anthony Morgis,1063582459936288768,2018-11-16 23:59:53,/actorraymorgis/status/1063582459936288768,1,1,1,"Behind-the-scene of the 2018 - 48 Hour Film Project, multi-award winning film, Lizard of Dogs. Created by Team Courageous Lion Cinema.
•
Directed by: @JohnnytheFlynn
•
BTS:… https://www.instagram.com/p/BqQrHNehQHE/?utm_source=ig_twitter_share&igshid=1m4xzj1g0snp …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Behind-the-scene of the 2018 - 48 Hour Film Project, multi-award winning film, Lizard of <strong>Dogs</strong>. Created by Team Courageous Lion Cinema.
•
Directed by: <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""29377379"" dir=""ltr"" href=""/JohnnytheFlynn""><s>@</s><b>JohnnytheFlynn</b></a>
•
BTS:… <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BqQrHNehQHE/?utm_source=ig_twitter_share&amp;igshid=1m4xzj1g0snp"" dir=""ltr"" href=""https://t.co/8bqPK5lqMy"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BqQrHNehQHE/?utm_source=ig_twitter_share&amp;igshid=1m4xzj1g0snp""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BqQrHNehQHE/</span><span class=""invisible"">?utm_source=ig_twitter_share&amp;igshid=1m4xzj1g0snp</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
__jeikob,The Dog Whisperer  🤫,1063582451577040897,2018-11-16 23:59:51,/__jeikob/status/1063582451577040897,0,0,0,Send me the link,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Send me the link</p>"
skiddly_bop, 🐻 ⛰ 🍯 emoji,1063582448838094848,2018-11-16 23:59:50,/skiddly_bop/status/1063582448838094848,0,0,0,They tried to entice him with dogstagram and he realized he could be a sincere dogs only account,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">They tried to entice him with dogstagram and he realized he could be a sincere <strong>dogs</strong> only account</p>"
_bad_e_dog,ヤマイヌ,1063582447265185794,2018-11-16 23:59:50,/_bad_e_dog/status/1063582447265185794,0,0,0,どしたの。(EDけ？ と首を傾けて),"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">どしたの。(EDけ？ と首を傾けて)</p>"
norizo123456789,のりぞ,1063582442953486336,2018-11-16 23:59:49,/norizo123456789/status/1063582442953486336,0,0,0,買ってみます(｡º̩̩́⌓º̩̩̀).゜,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">買ってみます(｡º̩̩́⌓º̩̩̀).゜<img alt=""💧"" aria-label=""Emoji: Droplet"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f4a7.png"" title=""Droplet""/><img alt=""💧"" aria-label=""Emoji: Droplet"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f4a7.png"" title=""Droplet""/></p>"
CampCocker,Camp Cocker Rescue,1063582439669460992,2018-11-16 23:59:48,/CampCocker/status/1063582439669460992,2,0,1,"Our very good friends at the Oaks Veterinary Urgent Care received an overwhelming amount of donations from concerned supporters after the Woolsey Fire evacuations. 

They have far too much dog and cat food (and... https://www.facebook.com/CampCockerRescue/posts/2139195509495939 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Our very good friends at the Oaks Veterinary Urgent Care received an overwhelming amount of donations from concerned supporters after the Woolsey Fire evacuations. 

They have far too much <strong>dog</strong> and cat food (and... <a class=""twitter-timeline-link"" data-expanded-url=""https://www.facebook.com/CampCockerRescue/posts/2139195509495939"" dir=""ltr"" href=""https://t.co/qBdAYHpOpU"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.facebook.com/CampCockerRescue/posts/2139195509495939""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">facebook.com/CampCockerResc</span><span class=""invisible"">ue/posts/2139195509495939</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
